Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.5675,12.9123,7.80811
0.56875,13.0105,7.80811
0.57,13.0105,7.80811
0.57125,13.0105,7.80811
0.5725,13.0105,7.80811
0.57375,13.1088,7.80811
0.575,13.1088,7.80811
0.57625,13.3052,7.80811
0.5775,13.3052,7.80811
0.57875,13.207,7.80811
0.58,13.207,7.80811
0.58125,13.3052,7.80811
0.5825,13.3052,7.80811
0.58375,13.3052,7.80811
0.585,13.3052,7.80811
0.58625,13.3052,7.80811
0.5875,13.3052,7.80811
0.58875,13.207,7.80811
0.59,13.207,7.80811
0.59125,13.3052,7.80811
0.5925,13.3052,7.80811
0.59375,13.3052,7.80811
0.595,13.3052,9.06543
0.59625,13.207,9.06543
0.5975,13.207,9.06543
0.59875,13.207,9.06543
0.6,13.207,9.06543
0.60125,13.207,9.06543
0.60125,13.207,9.06543
0.60125,13.207,9.06543
0.6025,13.207,9.06543
0.60375,13.1088,9.06543
0.605,13.1088,9.06543
0.60625,13.207,9.06543
0.6075,13.207,9.06543
0.60875,13.207,9.06543
0.61,13.207,9.06543
0.61125,13.207,9.06543
0.6125,13.207,9.06543
0.61375,13.3052,9.06543
0.615,13.3052,9.06543
0.61625,13.3052,9.06543
0.6175,13.3052,9.06543
0.61875,13.4034,9.06543
0.62,13.4034,9.06543
0.62125,13.4034,9.06543
0.6225,13.4034,9.06543
0.62375,13.4034,9.06543
0.625,13.4034,9.06543
0.62625,13.4034,9.06543
0.6275,13.4034,9.06543
0.62875,13.4034,9.06543
0.63,13.4034,9.06543
0.63125,13.4034,9.06543
0.6325,13.4034,9.06543
0.63375,13.4034,9.06543
0.635,13.4034,9.06543
0.63625,13.4034,9.06543
0.6375,13.4034,9.06543
0.63875,13.5017,9.06543
0.64,13.5017,9.06543
0.64125,13.4034,9.06543
0.6425,13.4034,9.06543
0.64375,13.4034,9.06543
0.645,13.4034,10.3223
0.64625,13.4034,10.3223
0.6475,13.4034,10.3223
0.64875,13.4034,10.3223
0.65,13.4034,10.3223
0.65125,13.4034,10.3223
0.65125,13.4034,10.3223
0.65125,13.4034,10.3223
0.6525,13.4034,10.3223
0.65375,13.3052,10.3223
0.655,13.3052,10.3223
0.65625,13.3052,10.3223
0.6575,13.3052,10.3223
0.65875,13.207,10.3223
0.66,13.207,10.3223
0.66125,13.3052,10.3223
0.6625,13.3052,10.3223
0.66375,13.3052,10.3223
0.665,13.3052,10.3223
0.66625,13.3052,10.3223
0.6675,13.3052,10.3223
0.66875,13.3052,10.3223
0.67,13.3052,10.3223
0.67125,13.3052,10.3223
0.6725,13.3052,10.3223
0.67375,13.207,10.3223
0.675,13.207,10.3223
0.67625,13.207,10.3223
0.6775,13.207,10.3223
0.67875,13.3052,10.3223
0.68,13.3052,10.3223
0.68125,13.3052,10.3223
0.6825,13.3052,10.3223
0.68375,13.207,10.3223
0.685,13.207,10.3223
0.68625,13.1088,10.3223
0.6875,13.1088,10.3223
0.68875,13.1088,10.3223
0.69,13.1088,10.3223
0.69125,13.1088,10.3223
0.6925,13.1088,10.3223
0.69375,13.1088,10.3223
0.695,13.1088,12.8364
0.69625,13.3052,12.8364
0.6975,13.3052,12.8364
0.69875,13.3052,12.8364
0.7,13.3052,12.8364
0.70125,13.3052,12.8364
0.70125,13.3052,12.8364
0.70125,13.3052,12.8364
0.7025,13.3052,12.8364
0.70375,13.4034,12.8364
0.705,13.4034,12.8364
0.70625,13.4034,12.8364
0.7075,13.4034,12.8364
0.70875,13.3052,12.8364
0.71,13.3052,12.8364
0.71125,13.4034,12.8364
0.7125,13.4034,12.8364
0.71375,13.4034,12.8364
0.715,13.4034,12.8364
0.71625,13.4034,12.8364
0.7175,13.4034,12.8364
0.71875,13.5017,12.8364
0.72,13.5017,12.8364
0.72125,13.4034,12.8364
0.7225,13.4034,12.8364
0.72375,13.3052,12.8364
0.725,13.3052,12.8364
0.72625,13.207,12.8364
0.7275,13.207,12.8364
0.72875,13.207,12.8364
0.73,13.207,12.8364
0.73125,13.207,12.8364
0.7325,13.207,12.8364
0.73375,13.207,12.8364
0.735,13.207,12.8364
0.73625,13.3052,12.8364
0.7375,13.3052,12.8364
0.73875,13.3052,12.8364
0.74,13.3052,12.8364
0.74125,13.3052,12.8364
0.7425,13.3052,12.8364
0.74375,13.3052,12.8364
0.745,13.3052,16.6157
0.74625,13.207,16.6157
0.7475,13.207,16.6157
0.74875,13.207,16.6157
0.75,13.207,16.6157
0.75125,13.207,16.6157
0.75125,13.207,16.6157
0.75125,13.207,16.6157
0.7525,13.207,16.6157
0.75375,13.207,16.6157
0.755,13.207,16.6157
0.75625,13.207,16.6157
0.7575,13.207,16.6157
0.75875,13.207,16.6157
0.76,13.207,16.6157
0.76125,13.3052,16.6157
0.7625,13.3052,16.6157
0.76375,13.207,16.6157
0.765,13.207,16.6157
