Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)],
126.743,-0.25053,463.9634146,141.4522606
126.744,-0.25053,463.9634146,141.4522606
126.745,-0.25053,463.1615854,141.2078004
126.746,-0.25053,463.1615854,141.2078004
126.747,-0.25053,463.1615854,141.2078004
126.749,-0.34876,463.1615854,141.2078004
126.75,-0.34876,463.1615854,141.2078004
126.751,-0.34876,463.1615854,141.2078004
126.751,-0.34876,463.1615854,141.2078004
126.751,-0.34876,463.1615854,141.2078004
126.753,-0.34876,463.1615854,141.2078004
126.754,-0.44699,463.1615854,141.2078004
126.755,-0.44699,463.1615854,141.2078004
126.756,-0.34876,463.1615854,141.2078004
126.757,-0.34876,463.1615854,141.2078004
126.759,-0.34876,463.1615854,141.2078004
126.76,-0.34876,463.1615854,141.2078004
126.761,-0.44699,463.1615854,141.2078004
126.762,-0.44699,463.1615854,141.2078004
126.764,-0.44699,463.1615854,141.2078004
126.765,-0.44699,463.1615854,141.2078004
126.766,-0.34876,463.1615854,141.2078004
126.768,-0.34876,463.1615854,141.2078004
126.769,-0.44699,463.1615854,141.2078004
126.77,-0.44699,463.1615854,141.2078004
126.771,-0.34876,463.1615854,141.2078004
126.772,-0.34876,463.1615854,141.2078004
126.774,-0.44699,463.1615854,141.2078004
126.775,-0.44699,463.1615854,141.2078004
126.776,-0.34876,463.1615854,141.2078004
126.777,-0.34876,463.1615854,141.2078004
126.779,-0.44699,463.1615854,141.2078004
126.78,-0.44699,463.1615854,141.2078004
126.781,-0.34876,463.1615854,141.2078004
126.783,-0.34876,463.1615854,141.2078004
126.784,-0.34876,463.1615854,141.2078004
126.785,-0.34876,463.1615854,141.2078004
126.786,-0.44699,463.1615854,141.2078004
126.787,-0.44699,463.1615854,141.2078004
126.789,-0.44699,463.1615854,141.2078004
126.79,-0.44699,463.1615854,141.2078004
126.791,-0.54522,463.1615854,141.2078004
126.793,-0.54522,463.1615854,141.2078004
126.794,-0.54522,463.1615854,141.2078004
126.795,-0.54522,462.3567073,140.9624108
126.796,-0.54522,462.3567073,140.9624108
126.798,-0.54522,462.3567073,140.9624108
126.799,-0.54522,462.3567073,140.9624108
126.8,-0.54522,462.3567073,140.9624108
126.801,-0.44699,462.3567073,140.9624108
126.801,-0.44699,462.3567073,140.9624108
126.801,-0.44699,462.3567073,140.9624108
126.802,-0.44699,462.3567073,140.9624108
126.804,-0.54522,462.3567073,140.9624108
126.805,-0.54522,462.3567073,140.9624108
126.806,-0.54522,462.3567073,140.9624108
126.808,-0.54522,462.3567073,140.9624108
126.809,-0.54522,462.3567073,140.9624108
126.81,-0.54522,462.3567073,140.9624108
126.811,-0.54522,462.3567073,140.9624108
126.812,-0.54522,462.3567073,140.9624108
126.814,-0.54522,462.3567073,140.9624108
126.815,-0.54522,462.3567073,140.9624108
126.816,-0.54522,462.3567073,140.9624108
126.817,-0.54522,462.3567073,140.9624108
126.819,-0.54522,462.3567073,140.9624108
126.82,-0.54522,462.3567073,140.9624108
126.821,-0.44699,462.3567073,140.9624108
126.823,-0.44699,462.3567073,140.9624108
126.824,-0.54522,462.3567073,140.9624108
126.825,-0.54522,462.3567073,140.9624108
126.826,-0.54522,462.3567073,140.9624108
